imie,plec,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
KAMIL,M,,,,,,,,,,,,,,1,,1,,,1,1,,3,1,2,5,9,2,14,26,23,27,32,53,108,114,102,112,112,108,97,94,88,66,65,53,66,65,59,51,45,48,28,36,24,25,24,30,17,23,28,18,18,17,11,13,12,4
MARCEL,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,1,1,2,,,,1,2,1,1,1,,4,3,8,7,7,8,11,10,26,29,24,18,21,32,31,37,16
ALEXANDER,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,2,,1,,2,2,,,1,2,1,2,,4,4,9,1,6,2,2,1
ARKADIUSZ,M,,4,,,,2,3,2,7,2,5,7,9,11,6,12,7,13,14,24,17,24,28,41,47,39,42,33,46,37,39,32,36,32,29,33,31,27,17,22,21,17,21,19,18,18,15,27,14,18,8,12,4,2,6,5,4,9,3,8,1,1,4,4,5,2,
MIESZKO,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,,,,,1,1,,,1,1,2,,1,,2,,1,4,,2,2,5,1,2
ADAM,M,28,36,43,31,37,39,36,43,35,30,30,29,38,29,30,36,43,40,48,51,53,54,46,49,60,54,50,48,40,37,41,51,40,39,47,50,40,23,27,26,25,41,21,36,29,18,22,26,22,24,20,19,20,22,27,25,29,37,38,59,45,49,55,42,71,54,36
BRONISLAW,M,2,3,2,2,3,3,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
DOMINIK,M,,1,,,1,,,,,,,,,,,,,,,1,1,1,2,5,12,5,4,9,10,17,9,22,20,8,18,16,12,13,7,10,9,21,18,8,12,10,14,19,30,12,15,17,11,27,15,24,20,16,21,22,14,21,19,13,27,16,13
WIESLAW,M,51,37,59,51,48,63,54,58,66,49,45,25,29,27,20,19,8,17,14,7,5,4,4,6,6,6,1,,1,2,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATAN,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2,,,1,5,,1,,4,3,2,4,3,5,3,13,11,14
OLIVIER,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,5,3,5,1,2,4,3,3
OSKAR,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,2,,1,2,3,,3,4,6,8,5,9,7,6,11,8,24,17,19,28,31,24,36,31,23,17,32,24,20,20
ARTUR,M,2,2,,2,3,4,4,11,16,17,18,24,30,37,35,45,63,56,76,81,77,65,79,93,95,93,78,74,66,54,62,41,37,40,34,46,41,32,20,27,22,25,16,16,14,8,9,9,8,9,10,9,3,5,6,4,6,3,7,9,7,2,3,5,8,7,3
FRANCISZEK,M,7,9,4,4,,3,5,5,3,,,,,,1,1,,,1,,1,1,,1,,1,,,1,1,1,1,,,1,,,,2,2,1,,,1,4,1,1,,2,5,3,6,3,8,8,9,17,15,12,31,31,35,39,51,66,48,42
MIECZYSLAW,M,40,35,34,41,30,22,18,22,16,13,6,9,3,4,8,8,5,4,2,2,1,1,2,,1,,1,3,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
MAKSYM,M,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,1,,,,,,3,,1,,,,,,,,,,,1,,,2,,6,1,4,,2,,2,3,,1,1,
BORYS,M,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,1,,1,,,,,,,2,,,2,,1,,1,,3,4,2,7,6,6,2,5,5,3,3
DAMIAN,M,,,,,,,,,1,,,,1,,,,,1,,1,1,,1,2,1,3,3,7,7,8,3,12,18,17,19,26,38,38,32,43,48,50,33,45,56,52,33,44,50,34,26,17,21,24,21,16,13,17,13,20,11,10,11,8,7,6,5
CEZARY,M,2,3,,4,2,6,3,4,10,10,12,12,28,13,12,21,12,13,18,12,9,9,15,6,3,6,9,6,8,8,9,8,13,10,5,9,10,13,4,5,10,6,5,13,7,12,13,14,10,10,8,6,,6,4,9,6,1,4,9,4,6,7,1,4,7,1
FILIP,M,,,,,,,,,,,,,,,,,,,,,1,,,1,2,2,1,1,5,1,3,4,5,3,6,10,4,5,2,7,10,8,9,12,8,15,13,12,6,17,18,16,19,27,31,38,32,30,53,52,68,62,44,53,53,44,27
KUBA,M,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,6,8,5,8,10,14,11,15,9,10,13,9,5,
MARIUSZ,M,,,,2,3,6,8,14,13,18,16,24,12,33,35,31,28,28,41,71,94,100,133,146,147,148,118,104,88,81,69,67,51,52,48,38,26,33,25,25,20,12,11,6,7,7,3,5,6,4,3,1,3,3,1,,,3,1,,1,,,,1,1,
STANISLAW,M,117,111,95,113,96,96,79,81,63,38,54,42,38,33,22,13,21,15,7,8,15,7,7,10,6,6,4,2,3,2,7,10,2,5,3,3,3,3,6,3,4,2,1,4,1,3,2,1,2,3,5,2,5,8,7,13,12,9,10,12,16,24,17,30,20,33,27
ADRIAN,M,,,,,,,,,,,,,,,,,,,,1,,,2,,5,5,1,3,2,4,9,7,15,12,15,19,30,34,43,31,37,37,47,36,35,29,25,29,40,33,30,23,15,27,22,17,23,26,26,16,16,18,12,12,8,21,6
GRZEGORZ,M,9,19,26,22,32,29,26,27,39,30,44,37,29,53,53,69,67,71,82,79,96,109,135,124,138,158,144,133,103,122,117,132,129,142,108,112,103,60,59,63,51,45,48,39,29,20,11,21,20,18,13,8,15,6,7,6,12,6,7,8,7,6,7,6,6,4,1
SEBASTIAN,M,,,,,,,,,,,,,,,,,,,,1,7,,9,8,23,34,33,42,42,50,46,42,59,37,37,35,36,26,30,33,27,23,30,34,29,30,26,31,30,21,23,16,16,14,18,15,16,21,16,17,16,12,21,21,18,8,2
NATANIEL,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,2,2,3,5,7,5,3,2,
SYLWESTER,M,,2,2,2,4,4,2,7,3,2,3,3,5,3,2,5,6,4,6,7,11,12,11,10,20,22,14,9,19,10,18,12,18,12,9,10,4,10,5,6,5,5,4,5,6,3,,4,3,,3,2,1,,1,4,1,,,2,,,,1,2,2,2
JAN,M,102,101,85,87,80,67,72,47,60,60,47,29,30,19,18,16,17,13,8,7,5,8,2,5,2,1,4,4,7,5,8,5,6,17,7,9,13,12,14,10,14,16,13,10,17,16,14,29,24,29,19,26,22,30,30,44,25,32,30,48,55,58,58,56,82,89,44
BRUNO,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,2,2,,,,1,3,4,4,4,5,6,3,6,5,7
OLIWIER,M,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,3,,1,,,7,3,6,20,17,20,22,19,23,23,15,14,19,9,13,5
PATRYK,M,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,6,9,6,9,16,19,19,14,17,7,20,22,19,30,41,44,44,48,52,45,50,57,46,45,48,30,34,24,20,25,25,25,23,18,18,26,14,6,12,9
JANINA,K,82,64,60,56,54,40,50,38,31,15,17,14,11,6,7,4,3,6,1,2,3,1,1,,2,,1,,,,1,1,,,1,,2,,,,,,,,,,,,,,,,1,,1,,,1,,,,1,2,,1,3,1
BRONISLAWA,K,2,1,2,3,1,1,1,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGDALENA,K,1,3,4,2,7,3,9,7,11,13,9,11,16,20,7,17,12,21,33,34,32,51,78,86,111,120,148,187,193,205,227,194,229,219,197,202,162,183,166,144,116,117,88,81,88,63,62,62,50,44,45,34,25,24,27,30,32,28,29,30,26,18,16,13,14,16,14
KAROLINA,K,,,,,,,,,1,,,,,,,,,1,,1,,1,1,,5,3,6,9,17,37,52,71,70,84,113,96,113,108,97,106,93,85,75,91,93,88,79,90,70,74,64,58,36,48,26,45,48,39,26,28,31,25,35,18,27,19,7
MATYLDA,K,1,,2,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,1,,,1,,,,,,,,,,,1,,,,1,2,1,2,1,3,3,1,2,,4,3,3,3,6,6,4,3,5,4
JULIA,K,3,4,1,1,1,1,,1,,,,,,,,,,,,,1,,,,,,,,1,3,6,1,3,5,5,3,4,1,2,2,7,9,7,10,11,8,18,31,26,74,88,116,82,86,103,114,109,107,138,127,129,128,96,61,63,80,44
CELINA,K,6,3,6,,2,3,7,4,4,2,3,1,,2,,,,,,,1,2,3,1,1,1,,1,,1,,,,,1,1,,,,1,1,,1,,,,,,,1,,,1,,,,,,,,,,,,,1,1
WIOLETTA,K,,,,,1,,1,,,,,,4,1,5,6,3,7,3,6,7,12,8,13,29,18,20,24,29,25,23,6,7,1,1,,1,,5,14,11,17,8,11,7,7,6,4,2,7,,,1,,1,2,2,1,,,1,,,,,1,
ANIELA,K,3,3,4,2,1,1,2,3,,1,1,2,1,,,1,,1,1,,,,,1,,,,,,,,1,,,,,,,1,,,,2,1,,1,,,,3,1,1,1,3,1,1,2,4,5,5,3,5,12,13,10,14,11
CECYLIA,K,6,2,1,2,1,1,2,1,3,4,2,,2,,,,1,,2,,1,,,,,,,1,1,,1,,1,,1,,,,,,,,,1,,,,,,1,,1,,,,,1,,,1,,,,,,,
INGA,K,,,,,,,,1,,,,,,,,,,,,1,2,1,,2,1,2,2,2,2,,,,,,1,2,,2,,,,3,1,,,3,1,2,2,1,1,1,1,2,3,3,4,1,,1,,5,,2,4,4,1
OLIWIA,K,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,1,,1,,2,2,2,2,2,1,4,,,3,1,2,2,6,23,17,23,30,39,48,60,52,61,57,76,59,45,54,41,27,30,38,21
KARINA,K,1,,,,,,,,,,,,,,,,,,,,2,1,,1,3,2,2,2,4,1,3,5,4,1,2,,3,2,2,3,4,2,2,3,,1,2,2,3,,,2,2,1,4,1,2,2,2,3,1,4,1,5,3,3,1
DOROTA,K,6,1,1,5,4,12,22,14,7,14,24,34,34,54,63,56,74,86,101,97,85,106,95,91,95,92,101,93,71,84,70,85,90,88,83,64,53,65,48,38,30,27,16,28,22,9,13,11,9,7,8,5,2,7,6,3,1,2,2,8,1,3,6,4,7,4,2
DIANA,K,,,,,,,,,,,,,1,,2,,,,,,1,,2,,1,,1,3,4,1,10,3,3,10,4,6,12,5,6,7,6,6,3,3,3,2,5,3,3,2,,2,,1,,,1,1,2,,,3,1,3,1,2,6
DANIELA,K,,2,,3,,,2,2,,,2,1,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,2,,1,,,1,,,,1,,,,,1,,,,,1,,1,,,
ALFREDA,K,,5,5,6,1,5,1,3,1,1,3,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NADIA,K,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,1,1,1,2,2,2,8,3,6,11,19,9,12,21,8,15,20,10
NATALIA,K,1,,,1,2,1,1,,,1,1,,,,3,,2,,1,1,,,3,2,7,2,3,3,2,3,6,7,11,10,14,28,39,41,40,35,38,45,46,41,35,38,45,63,64,80,87,92,82,72,76,79,80,83,84,67,66,64,62,61,71,52,46
GABRIELA,K,8,2,1,5,1,1,3,5,2,3,,1,4,1,4,3,1,1,2,1,1,5,1,1,4,2,2,3,1,1,2,3,8,6,3,4,1,1,5,2,7,4,6,8,7,5,13,17,23,22,27,25,30,28,35,25,31,29,38,24,39,40,44,30,37,36,26
AMANDA,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,2,5,2,1,3,3,,2,2,2,1,1,1,,1,1,1,3,1,1,2,2,1,1,,3
ANNA,K,154,159,180,187,199,210,207,220,161,191,183,157,151,163,197,166,167,171,187,177,216,236,206,232,258,233,236,239,246,299,292,328,280,333,283,250,237,188,152,135,129,117,98,84,72,71,64,53,44,44,28,35,22,28,26,39,28,38,38,38,25,37,25,40,38,28,30
JOANNA,K,30,25,23,33,40,41,49,39,43,55,45,42,52,58,59,54,62,55,52,65,66,57,72,78,86,109,102,106,88,94,99,100,116,117,119,102,108,74,76,96,64,71,52,41,44,35,21,25,20,19,12,19,16,12,10,14,17,9,16,16,17,18,18,11,12,15,11
LIDIA,K,5,10,13,15,7,14,25,23,24,14,25,17,21,9,8,10,9,6,12,11,10,10,9,6,7,13,5,5,6,11,7,12,3,6,2,4,7,5,3,1,1,1,,3,1,,1,1,2,1,1,3,,6,1,1,1,2,,4,3,4,5,1,4,5,2
BOZENNA,K,31,35,43,52,54,65,64,15,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALINA,K,48,29,31,25,27,46,44,30,39,32,27,18,24,22,18,20,6,8,8,10,5,10,5,3,3,5,2,2,2,1,1,4,1,,2,1,1,,1,,1,2,1,,,2,1,,,,,,,,,1,,2,,2,,,2,,1,,
AURELIA,K,1,,2,1,1,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,3,,7,3
SYLWIA,K,,,1,3,1,1,,1,1,4,1,1,1,,,6,2,4,2,5,6,18,32,32,43,44,54,88,85,73,75,64,60,48,51,56,61,52,51,40,37,38,39,34,19,31,18,20,21,13,5,9,4,2,2,2,1,3,3,1,2,1,2,,,,
KINGA,K,,,2,,,1,1,,,1,,,2,1,2,,2,3,2,,8,8,7,13,11,25,19,19,24,22,25,17,16,28,27,23,26,19,17,23,35,22,18,22,32,32,30,24,18,14,17,22,9,18,29,29,23,40,19,14,14,21,9,7,10,10,5
ANASTAZJA,K,1,1,,,2,,,1,,,,,,,,,,,,,,2,,,,,,,,,,1,1,,,,2,1,,1,1,2,1,4,,,1,,4,2,1,,3,2,1,1,2,7,1,6,3,4,3,6,13,10,7
HELENA,K,36,37,39,26,21,14,23,15,13,9,9,4,5,4,2,5,,1,,2,1,,3,,1,,2,,,,1,1,,,,,1,2,2,1,1,,1,,,1,1,,,,,1,1,1,2,5,2,5,5,11,11,11,15,11,15,24,15
ZUZANNA,K,3,2,7,1,,2,3,4,3,2,2,1,1,1,1,2,,1,1,2,1,,,1,1,1,,1,2,,1,2,,1,3,3,4,3,2,4,5,4,8,10,8,10,11,26,19,19,17,30,31,42,41,42,56,53,68,76,79,69,52,91,76,79,46
MILENA,K,,,,,,,,,,,,,,,,,,1,,1,,,,1,,2,4,1,2,3,3,3,6,9,12,13,10,13,10,15,9,8,8,8,9,13,10,4,6,9,6,7,10,7,5,14,12,21,13,10,25,22,21,19,21,15,9
WANDA,K,36,35,30,30,40,19,17,22,11,17,13,7,7,5,6,1,5,1,4,,2,1,4,1,1,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,1,2,2
PAULINA,K,,,,1,,,,,,,,1,,,,,,,,1,1,1,1,1,1,1,3,3,8,13,21,20,28,33,41,45,96,80,92,74,95,87,78,84,73,64,59,60,56,48,41,25,30,26,27,25,19,15,18,20,15,16,16,9,7,5,3
SANDRA,K,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,2,5,4,8,1,7,3,3,4,3,2,6,7,6,7,6,12,16,6,9,7,7,9,9,6,12,9,12,2,3,6,2
REGINA,K,16,13,13,8,9,15,4,10,10,11,8,8,1,2,3,5,6,2,3,1,2,2,3,,1,1,1,,,1,1,1,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,
PAULA,K,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,2,1,,,,2,1,2,1,2,6,1,4,2,15,7,5,5,3,5,4,3,2,2,2,2,1,1,3,1,1,,,,2,1,,1,,
BOGUMILA,K,11,20,13,15,19,19,11,18,13,16,9,11,13,10,6,6,4,4,3,5,1,1,4,1,2,,2,1,2,2,,3,2,1,1,2,,1,,2,2,,1,,,,1,,1,,,,,,1,1,,,,,1,,,,,1,
KALINA,K,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,1,,,,,,1,,,,,,,,1,,1,1,,1,1,1,,2,2,1,1,6,3,3,5,6,7,4,4
ILONA,K,,,,,,,1,2,1,,1,3,,,,,3,1,4,7,3,5,5,6,7,3,7,5,7,9,7,5,7,12,22,21,27,14,14,13,7,9,6,11,4,3,5,6,6,1,,1,,,,1,,,,2,,,,,,,
TERESA,K,185,179,187,180,172,167,156,136,102,87,79,73,59,41,50,37,20,26,21,16,11,14,9,8,16,7,7,1,6,9,7,,3,5,3,2,2,,1,,1,1,2,1,,,,,1,1,1,1,,1,,,1,,,,,1,1,,3,,1
MALGORZATA,K,18,24,37,56,59,82,78,87,112,129,146,183,202,197,198,182,161,187,155,152,150,143,151,199,199,148,157,145,137,134,133,141,152,143,174,133,100,81,74,71,74,50,48,42,29,30,24,26,19,19,17,18,23,25,29,22,18,26,18,12,11,23,15,10,13,12,6
IZABELLA,K,5,3,10,7,8,7,3,12,8,5,3,13,2,1,,1,,1,2,1,2,2,3,2,2,3,1,,1,,4,1,1,1,1,,,,,1,,1,,,,2,2,2,2,2,4,1,,1,1,,1,2,1,1,1,1,,4,,2,
ROKSANA,K,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,1,1,1,1,,,1,1,1,1,5,2,4,2,1,1,1,1,1,1,,1,4,6,4,1,9,5,8,2,2,1,3,2,,
DOMINIKA,K,1,,,,,,,,,,,1,,,,,1,,1,1,,1,1,2,2,5,4,7,17,19,23,31,30,18,24,31,24,18,25,27,21,23,35,43,48,35,29,33,39,31,35,24,32,24,18,17,24,23,20,16,14,13,9,13,12,5,4
ADA,K,,,,,1,,,,,1,,,1,,,,,,,,,,,1,,,,,,1,,,,,,1,1,1,,1,,,2,3,3,1,1,2,1,5,2,,2,1,4,2,4,2,2,1,2,4,4,5,3,5,4
KATARZYNA,K,4,3,5,7,2,4,1,8,9,5,4,17,22,23,41,40,47,48,59,77,63,94,91,124,130,155,193,184,223,229,225,267,294,256,231,245,225,212,225,183,181,135,139,113,110,88,86,72,58,53,45,46,35,34,24,29,23,20,24,19,13,15,9,15,11,11,7
ROZA,K,1,2,4,4,4,3,,3,6,4,2,3,2,1,1,1,3,1,,,,5,1,,1,1,1,,1,2,2,1,3,2,4,,1,1,,1,1,1,,3,1,,,1,,,2,3,1,,1,2,3,2,3,5,5,2,5,8,10,7,5
KRYSTYNA,K,163,190,175,168,166,141,122,128,91,93,50,55,46,49,27,25,21,19,15,12,11,13,6,10,3,3,2,4,2,2,4,1,3,,2,1,3,2,1,3,2,2,2,,1,1,1,1,2,,,1,1,,,1,,,1,1,,,1,2,,,
ADRIANNA,K,,,,,,,,,,,,,,,,,,,2,,,1,,1,1,1,3,1,1,1,2,,1,,,,,,,2,1,,1,12,17,28,31,22,20,9,9,6,9,2,5,4,3,2,3,6,5,7,6,4,11,3,3
LILIANA,K,,,,,1,1,4,6,4,6,3,9,3,2,3,10,2,1,,,2,1,,1,2,1,1,1,3,1,,,1,,3,1,3,2,,,,1,,,1,1,,,,,,1,2,,1,1,,3,5,6,8,5,11,14,22,28,17
ADELA,K,2,3,3,2,2,2,1,2,,1,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,3,,,,,3,1,
MICHALINA,K,2,2,2,2,,,,,1,,,1,,,,,,,,,,1,,,,,,1,1,,,2,,1,1,2,2,3,3,1,2,2,1,3,2,1,6,5,5,4,5,1,4,4,3,3,,5,10,17,10,19,10,12,16,15,15
AMELIA,K,1,1,,,,,,,,,,,,2,,,,1,,,,,,,,1,,,1,1,1,1,2,2,2,1,1,1,1,1,2,1,2,3,,,2,,3,4,,,23,22,29,38,39,62,59,70,56,46,45,40,46,54,31
TEODOZJA,K,1,2,4,5,4,2,3,1,,1,,2,1,2,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZENONA,K,2,2,,,3,3,7,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAURA,K,,,,,1,,1,,1,,,2,,,2,,1,,1,1,,,1,2,,,,,,,,1,,,,,,,,,,3,,2,2,2,4,4,1,9,2,9,5,8,5,7,9,17,17,18,15,22,38,16,27,29,18
LUIZA,K,,,,,,,,,1,,,2,1,,1,1,1,1,1,2,2,1,,3,6,3,3,5,3,7,4,4,2,2,4,5,3,3,1,5,2,3,3,5,1,,5,1,1,,1,3,,,2,1,1,1,,,2,1,,,2,1,2
HALINA,K,124,127,128,124,118,115,90,99,85,64,64,44,42,31,24,16,24,20,8,11,11,7,5,1,5,4,2,2,1,4,2,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,
MAGDA,K,,,,,,,,,,,,,,,,,,,,1,,,1,1,,1,1,4,,,2,8,22,14,7,10,6,12,11,10,12,11,13,7,9,8,7,5,4,5,5,3,2,2,1,1,3,5,,3,1,1,,,1,3,
BLANKA,K,,,,,,,,,,,,,,,1,1,1,1,,,1,1,1,1,1,1,2,3,1,,2,,1,2,,1,,1,,,,,,1,,1,,4,,2,,1,1,2,,1,4,5,5,8,7,12,6,6,8,13,4
MARIOLA,K,,,2,,1,2,2,7,9,14,18,24,23,25,27,28,23,19,17,14,11,12,6,7,12,12,6,11,4,5,8,9,5,12,7,4,6,4,3,6,2,8,2,4,,1,1,,,,2,,1,,,,,,1,,,,,,,1,
BOGUSLAWA,K,7,10,9,10,7,7,3,19,6,5,7,1,6,5,5,2,4,3,,,1,3,2,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WACLAWA,K,1,1,2,1,1,1,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARIA,K,,,1,,1,,,,,,,,,,,,,1,1,,1,2,,2,2,2,4,2,,2,3,2,4,4,3,1,5,2,6,4,3,3,6,7,2,6,5,5,5,4,12,8,15,6,8,10,9,15,13,14,18,12,5,3,4,5,3
SARA,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,,,2,1,,2,2,3,5,6,5,1,7,,3,4,1,2,3,1,2,3,6,3,,4,3,4,2,4,5
JOWITA,K,,,,,,,,,,,,,,,,,,,,,,1,,3,1,,4,3,1,5,2,1,3,2,1,2,4,1,2,,2,1,,3,1,,,1,,2,1,,,1,1,1,1,1,,1,,2,1,2,,1,
EDYTA,K,,,,,,,1,1,1,,,,,1,3,2,12,8,19,35,39,49,51,59,48,59,47,49,56,57,37,36,49,46,34,35,32,27,27,16,14,15,12,11,6,8,8,4,8,5,3,5,,1,2,,,1,1,,2,,1,1,,2,
WERONIKA,K,2,4,2,2,,2,1,4,,,1,,2,,,,,1,,,,,,1,,,,1,1,2,4,6,3,6,20,12,16,18,20,20,19,17,24,24,27,25,36,48,47,71,83,80,58,47,44,57,46,51,49,36,30,26,22,23,20,17,9
STEFANIA,K,9,8,6,5,6,2,6,,1,,1,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,5,,1,
JOZEFA,K,13,4,11,6,2,6,2,3,1,2,2,1,1,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGA,K,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,2,1,,1,4,1,6,4,4,6,6,8,4,6,7,7,4,21,7,9,6,8,7,12,7,12,11,12,15,17,18,13,21,16,17,16,18,19,31,19
JUDYTA,K,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,,2,,,,,,9,5,1,2,,,1,1,1,,,1,,1,1,,,,1,,1,3,3,,1,3,1,,,1,1
KLARA,K,,,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,1,,1,,1,1,,2,1,1,1,5,1,2,,3,1,1,2,,5,5,1,5,4,8,6,14,8,14,14,11
MALWINA,K,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,1,1,,1,,1,2,1,17,8,8,3,6,4,3,1,2,3,2,3,3,2,1,1,,,,2,1,9,,3,4,2,3,1,4,2,6,1
ANETTA,K,,,,,,,,1,,,,,1,,,1,2,,4,,1,5,3,4,1,3,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROZALIA,K,,1,1,5,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,1,2,2,1,,1,1,,2,4,4,4,2,3,1
EWA,K,89,116,122,129,136,134,132,154,152,162,163,148,153,138,123,124,137,106,106,104,110,120,107,99,128,101,92,74,83,80,60,63,62,68,53,58,50,32,30,20,29,25,28,19,12,14,11,10,12,8,7,9,4,8,5,7,4,10,5,7,16,6,10,7,13,10,2
HONORATA,K,2,1,,,,3,,2,,,,,,,,1,,,,1,1,,,1,1,2,1,1,2,,2,,1,2,3,3,1,1,1,2,1,1,,1,,,1,,1,2,,2,,,1,2,,1,,,,,,,1,1,
OLGA,K,,1,,1,,2,2,1,,,,2,2,1,1,1,2,,1,2,2,1,3,2,1,2,4,1,4,6,10,18,5,14,14,22,21,31,33,32,29,21,19,23,17,11,11,13,6,9,9,10,9,14,10,14,9,10,8,11,9,11,10,8,7,6,2
ZDZISLAWA,K,5,6,7,13,2,8,1,4,3,3,8,3,1,3,,2,1,1,2,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZESLAWA,K,17,10,13,11,9,8,7,3,6,1,,,1,,1,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARLENA,K,,,,1,,,,,2,,2,2,,1,,2,1,1,1,2,1,,2,4,7,9,5,8,5,3,8,5,6,10,12,11,10,7,9,14,15,8,11,7,7,9,5,2,3,4,2,,,,2,2,,,2,4,,,3,1,1,,
NINA,K,,,2,,1,,,,,1,2,2,2,2,1,,,,,2,1,,2,2,,5,,3,,5,7,3,4,2,4,6,5,4,2,6,3,3,1,3,2,2,4,1,2,2,4,5,1,8,,11,4,9,9,14,14,19,21,10,15,16,4
ANGELIKA,K,,,,,,,,,,,,,,,,,,,1,,,1,1,3,6,3,4,3,2,9,6,10,7,13,12,13,7,14,7,14,17,18,24,12,27,21,17,18,15,15,8,4,6,11,4,7,1,3,,4,3,1,1,5,1,,
FRANCISZKA,K,3,1,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,1,,1,,,3,
IWONA,K,,7,5,2,5,4,9,25,29,37,42,32,53,52,88,88,81,79,104,77,85,85,111,108,90,81,76,64,78,58,66,49,49,57,50,49,45,31,25,35,22,13,11,11,8,5,3,2,7,,2,1,2,,,,1,2,2,2,,,,,,,
