IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
VIKTORIIA,KOBIETA,8806
NATASZA,KOBIETA,8792
NICOLA,KOBIETA,8774
NICOLE,KOBIETA,8723
JOWITA,KOBIETA,8498
KATERYNA,KOBIETA,8427
LIUDMYLA,KOBIETA,8400
ANASTASIIA,KOBIETA,8186
TAMARA,KOBIETA,8171
VICTORIA,KOBIETA,8165
LEONARDA,KOBIETA,7899
MARZENNA,KOBIETA,7888
ERYKA,KOBIETA,7798
VANESSA,KOBIETA,7719
GIZELA,KOBIETA,7539
LONGINA,KOBIETA,7508
TEOFILA,KOBIETA,7482
INGA,KOBIETA,7471
DONATA,KOBIETA,7460
JESSICA,KOBIETA,7275
HALYNA,KOBIETA,7222
ESTERA,KOBIETA,7197
BERNADETTA,KOBIETA,7065
TEKLA,KOBIETA,6847
NADZIEJA,KOBIETA,6816
ADA,KOBIETA,6673
ELFRYDA,KOBIETA,6444
LIWIA,KOBIETA,6441
MARYNA,KOBIETA,6403
IRMINA,KOBIETA,6264
ANETTA,KOBIETA,6230
RYSZARDA,KOBIETA,6013
BERNARDA,KOBIETA,5818
VALENTYNA,KOBIETA,5783
KONSTANCJA,KOBIETA,5768
RITA,KOBIETA,5731
SŁAWOMIRA,KOBIETA,5448
AMANDA,KOBIETA,5444
BIANKA,KOBIETA,5400
FLORENTYNA,KOBIETA,5360
WIERA,KOBIETA,5261
NADIIA,KOBIETA,5256
LUCJA,KOBIETA,5237
MIA,KOBIETA,5048
LARYSA,KOBIETA,5045
LILIA,KOBIETA,5028
ELENA,KOBIETA,5007
LILLA,KOBIETA,4985
ZYTA,KOBIETA,4971
INNA,KOBIETA,4949
KUNEGUNDA,KOBIETA,4895
IDA,KOBIETA,4835
EMMA,KOBIETA,4783
MAYA,KOBIETA,4501
KAMILLA,KOBIETA,4451
OLIMPIA,KOBIETA,4411
MARCELA,KOBIETA,4356
EDWARDA,KOBIETA,4305
KLEMENTYNA,KOBIETA,4166
MIRELA,KOBIETA,3908
SEWERYNA,KOBIETA,3902
OLEKSANDRA,KOBIETA,3861
BALBINA,KOBIETA,3855
FILOMENA,KOBIETA,3832
LIUBOV,KOBIETA,3820
LEONTYNA,KOBIETA,3670
ALLA,KOBIETA,3621
MARYLA,KOBIETA,3609
LILA,KOBIETA,3591
KSENIA,KOBIETA,3553
FAUSTYNA,KOBIETA,3550
YANA,KOBIETA,3531
MARCJANNA,KOBIETA,3480
SAMANTA,KOBIETA,3360
EDELTRAUDA,KOBIETA,3360
ERNA,KOBIETA,3191
PETRONELA,KOBIETA,3110
ALEXANDRA,KOBIETA,3106
BERTA,KOBIETA,3067
AMALIA,KOBIETA,3035
ANGELINA,KOBIETA,2992
LUBA,KOBIETA,2929
OKTAWIA,KOBIETA,2868
LILIIA,KOBIETA,2854
RUTA,KOBIETA,2831
VIKTORIA,KOBIETA,2794
SOFIA,KOBIETA,2758
PAMELA,KOBIETA,2753
BOGNA,KOBIETA,2699
KRZYSZTOFA,KOBIETA,2668
DOMICELA,KOBIETA,2663
WANESSA,KOBIETA,2657
ALONA,KOBIETA,2626
GERDA,KOBIETA,2529
ZOJA,KOBIETA,2455
MIRELLA,KOBIETA,2450
VERONIKA,KOBIETA,2442
MARIANA,KOBIETA,2411
CLAUDIA,KOBIETA,2391
SOFIIA,KOBIETA,2358
IRMGARDA,KOBIETA,2357
GAJA,KOBIETA,2340
HELGA,KOBIETA,2312
IVANNA,KOBIETA,2292
NOEMI,KOBIETA,2282
LEONIA,KOBIETA,2281
EULALIA,KOBIETA,2240
INEZ,KOBIETA,2231
JAROSŁAWA,KOBIETA,2181
KHRYSTYNA,KOBIETA,2162
VALERIIA,KOBIETA,2150
JAGNA,KOBIETA,2135
PRAKSEDA,KOBIETA,2128
MARIYA,KOBIETA,2115
STELLA,KOBIETA,2101
NEL,KOBIETA,2065
ANGELA,KOBIETA,2041
SOPHIE,KOBIETA,2033
OLA,KOBIETA,2030
BERNARDYNA,KOBIETA,1976
ZINAIDA,KOBIETA,1974
OTOLIA,KOBIETA,1956
EUFEMIA,KOBIETA,1951
MICHELLE,KOBIETA,1941
EMILY,KOBIETA,1904
NATALIYA,KOBIETA,1882
LESIA,KOBIETA,1877
SARAH,KOBIETA,1855
VIRA,KOBIETA,1839
RAISA,KOBIETA,1806
IZA,KOBIETA,1799
AUGUSTYNA,KOBIETA,1774
ALENA,KOBIETA,1773
ERIKA,KOBIETA,1770
ARLETTA,KOBIETA,1757
MIRIAM,KOBIETA,1745
ROMA,KOBIETA,1736
TOLA,KOBIETA,1733
EMA,KOBIETA,1714
ANTONIA,KOBIETA,1706
INES,KOBIETA,1699
MARINA,KOBIETA,1695
KLAUDYNA,KOBIETA,1683
BENEDYKTA,KOBIETA,1681
MANUELA,KOBIETA,1670
BLANDYNA,KOBIETA,1666
GRETA,KOBIETA,1654
IRINA,KOBIETA,1621
LUBOMIRA,KOBIETA,1620
WINCENTYNA,KOBIETA,1608
GALYNA,KOBIETA,1602
MARIETTA,KOBIETA,1598
KORNELA,KOBIETA,1588
LEA,KOBIETA,1586
NATALIE,KOBIETA,1578
JAŚMINA,KOBIETA,1559
DOBROSŁAWA,KOBIETA,1553
YULIYA,KOBIETA,1536
GABRYELA,KOBIETA,1532
WILHELMINA,KOBIETA,1504
WALESKA,KOBIETA,1477
LIGIA,KOBIETA,1463
YEVHENIIA,KOBIETA,1452
EVA,KOBIETA,1449
HANKA,KOBIETA,1439
SCHOLASTYKA,KOBIETA,1437
OLESIA,KOBIETA,1411
YELYZAVETA,KOBIETA,1392
ERNESTYNA,KOBIETA,1356
WIRGINIA,KOBIETA,1344
RUSLANA,KOBIETA,1340
ANDREA,KOBIETA,1326
MARTINA,KOBIETA,1319
BOGDANA,KOBIETA,1317
ANASTASIYA,KOBIETA,1293
INGEBORGA,KOBIETA,1292
BENIGNA,KOBIETA,1290
POLINA,KOBIETA,1269
ANA,KOBIETA,1261
JÓZEFINA,KOBIETA,1258
TETYANA,KOBIETA,1257
HERMINA,KOBIETA,1243
KSAWERA,KOBIETA,1237
MILA,KOBIETA,1236
WANESA,KOBIETA,1218
NICOL,KOBIETA,1216
LINDA,KOBIETA,1212
TATSIANA,KOBIETA,1204
VITA,KOBIETA,1204
SOPHIA,KOBIETA,1203
CELESTYNA,KOBIETA,1199
DŻESIKA,KOBIETA,1199
VERONICA,KOBIETA,1194
IRMA,KOBIETA,1190
IULIIA,KOBIETA,1184
SERAFINA,KOBIETA,1180
ALA,KOBIETA,1175
LIDIIA,KOBIETA,1165
KRISTINA,KOBIETA,1145
GALINA,KOBIETA,1137
NATALLIA,KOBIETA,1133
MAJKA,KOBIETA,1133
JENNIFER,KOBIETA,1126
MARITA,KOBIETA,1123
MYROSLAVA,KOBIETA,1119
ADAMINA,KOBIETA,1112
NIKOL,KOBIETA,1107
IWONNA,KOBIETA,1105
GANNA,KOBIETA,1101
MALINA,KOBIETA,1098
KARYNA,KOBIETA,1095
PATRICIA,KOBIETA,1093
LIVIA,KOBIETA,1090
EMANUELA,KOBIETA,1080
MARHARYTA,KOBIETA,1079
ZHANNA,KOBIETA,1078
SIMONA,KOBIETA,1077
LUDWINA,KOBIETA,1074
ADOLFINA,KOBIETA,1074
LUDOMIRA,KOBIETA,1071
ULIANA,KOBIETA,1068
DAJANA,KOBIETA,1065
VOLHA,KOBIETA,1063
ANASTASIA,KOBIETA,1062
ISABELLA,KOBIETA,1055
LARA,KOBIETA,1042
ANIKA,KOBIETA,1031
GLORIA,KOBIETA,1026
MIRA,KOBIETA,1010
INGRID,KOBIETA,1008
ALOJZA,KOBIETA,1006
ELZA,KOBIETA,994
SYLWESTRA,KOBIETA,989
ANZHELA,KOBIETA,989
SABRINA,KOBIETA,987
JANA,KOBIETA,987
EUFROZYNA,KOBIETA,983
KATSIARYNA,KOBIETA,974
BERENIKA,KOBIETA,963
RAMONA,KOBIETA,937
IDALIA,KOBIETA,935
NIKOLETTA,KOBIETA,934
ŻAKLINA,KOBIETA,931
DARYNA,KOBIETA,920
CAROLINE,KOBIETA,917
CARMEN,KOBIETA,914
LEONA,KOBIETA,908
EMILA,KOBIETA,897
HANNAH,KOBIETA,886
GABRIELLA,KOBIETA,880
KSENIIA,KOBIETA,877
EUDOKIA,KOBIETA,875
SYBILLA,KOBIETA,867
ELLA,KOBIETA,867
NELLY,KOBIETA,867
ALISA,KOBIETA,866
SWIETŁANA,KOBIETA,864
HIERONIMA,KOBIETA,851
HERONIMA,KOBIETA,838
SVETLANA,KOBIETA,837
FRYDERYKA,KOBIETA,835
DALIA,KOBIETA,834
ADOLFA,KOBIETA,831
NADIYA,KOBIETA,828
SŁAWA,KOBIETA,817
MICHAELA,KOBIETA,815
ANHELINA,KOBIETA,813
ZENAIDA,KOBIETA,810
NAOMI,KOBIETA,800
MARIE,KOBIETA,798
LYUDMYLA,KOBIETA,797
GRACJANA,KOBIETA,794
ELIZABETH,KOBIETA,794
ALICE,KOBIETA,793
WINCENTA,KOBIETA,793
MARGARETA,KOBIETA,789
LILY,KOBIETA,782
ALICIA,KOBIETA,781
BERNARDETA,KOBIETA,780
CYRYLA,KOBIETA,770
VALENTINA,KOBIETA,765
ŻANETTA,KOBIETA,758
MARGARITA,KOBIETA,752
SZARLOTA,KOBIETA,751
AUGUSTA,KOBIETA,745
INA,KOBIETA,744
MARGOT,KOBIETA,739
ELA,KOBIETA,739
ROXANA,KOBIETA,732
VIOLETA,KOBIETA,730
LESŁAWA,KOBIETA,727
BIANCA,KOBIETA,726
KIRA,KOBIETA,721
BENITA,KOBIETA,711
NARCYZA,KOBIETA,709
HANA,KOBIETA,709
LIUDMILA,KOBIETA,708
MODESTA,KOBIETA,705
DARYA,KOBIETA,703
LYUBOV,KOBIETA,701
LILLY,KOBIETA,697
BOHDANA,KOBIETA,695
KARIN,KOBIETA,694
INKA,KOBIETA,688
ZORIANA,KOBIETA,686
MARYIA,KOBIETA,685
DARIIA,KOBIETA,682
DOBROCHNA,KOBIETA,680
SVIATLANA,KOBIETA,677
KAYA,KOBIETA,676
LUCJANNA,KOBIETA,670
JESIKA,KOBIETA,665
JULITTA,KOBIETA,663
MONICA,KOBIETA,662
CAROLINA,KOBIETA,657
ABIGAIL,KOBIETA,651
LEONORA,KOBIETA,647
EUNIKA,KOBIETA,642
MILANA,KOBIETA,638
KASANDRA,KOBIETA,637
DOBRAWA,KOBIETA,626
DAGNA,KOBIETA,620
ARIANA,KOBIETA,617
HERTA,KOBIETA,614
JESSIKA,KOBIETA,613
