SOUCHAL	Léon Claude Albert
CHORAT	Jules Joseph Augustin
RENAUD	Jean Joseph
ROBERT DE	Louis François
SOUPEAUX	Eugène
SAILLARD	Gustave Emile
GIRARD	Henri Eugène
LECOMTE	Julien Félix Joseph
WOOG	Raymond Emmanuel
PICARD	Marguerite Rosa
VALMONT	Charles Louis
SALOMON	Charles
PHILIP	Louis Antoine
PLASSE	Maurice
POILPRÉ	Charles Pierre Auguste
PLICHARD	Pierre René Georges
DARDANNE	Georges André
BELHOMME	Auguste Charles Armand
CAMUT	Jean Georges
BEAUVY	Charles Armand Sulpice
BARBEAU	Charles Alfred
BARBIER	Auguste Lucien
CARON	Paul Ernest Gaston
CASTAIGNET	Paul Marie Albert
BARDENAT	Emile Auguste
AUBERT	Louis Napoléon
BERTAULT	Georges Maurice
POGNON	Alfred Joseph
SCHWOB	Léon Jacques
ROSTAINE	Paul
VERBIGIER DE SAINT-PAUL DE	Guy Joseph Jules Marie
RENARD	Jules Marc Maurice
THUVIEN	Henri Lucien
TONNIN	Alfred Henri
MABILLE	Louis
LAISNÉ	Edgard Maurice
MARTIN	Victor Louis Alexandre Alcide
MAROTTE	Jules Bernard
TRIGER	Jean Raymond
MARCOT	Paul Nicolas
LEPIERRE	Paul Charles
MARCAIRE	Jean Ernest Valentin
LÉVI	Léopold
LAVENAY DE	Humbert Charles Marie
JAILLET	Louis Emile
LAFFITTE	Edouard François Pierre
SIMONET	Jules Georges
SASSO	Conrad
DELABROUSSE	Jacques André
DÉGRANGE	Lucien Joseph
DANLOUX DUMESNILS	Marie Paul Roger
BAUDOIN	Henri
CAMBIER	Robert
CHAUDUN	Marie Fernand
CRISTOFINI	Henri Pierre Louis Joseph
CHARLET	Henri Pierre Alexandre
BOUCHART	Armand Joseph Auguste
MEAUX DE	Guillaume
BACONNIÈRE DE SALVERTE	Antoine Napoléon Raphaël
BOUSSON	Amédée Paul Ernest
BRUN	Henri André
CHÂLE	Jules Léon
CHERRIER	Gabriel Marie Louis Ernest
BERVIALLE	Maurice Lucien
NICLOUX	Maurice
NATTAN-LARRIER	Louis Adrien Albert
MONTÉZIN	Pierre Eugène
L'HOPITAL	Charles
LUCHET	Just Clément
MAROT	Philippe Marie
MAGUIN	Jean François Emile
LESCOUL	Charles Louis
MAUBAN	Etienne Henri Léon
LEFÈVRE	Georges Jean
MORICEAU	René Eugène
MÜLLER	Edmond Camille
LOUCHET	Charles Paul Augustin
MOREL	Paul Raymond
MARTY	André
MARÉCHAL	Henri
LEVREUX	Henri Jules
MESSIER	Maurice Emile
LEVY	Maurice
NUNÈS	Jean Eugène Charles
MILLOT	Jacques Xavier
LOBUT	René Louis Marie
MARCOTTE	Edme Jean Marie
MONROUZEAU	Marcel Auguste
MONNIER	Henry Marie Savinien
MILLOCHAU	Paul Antoine Marie Charles
MONCELON	Charles Etienne
MARTIN	Maurice
MARTIN	Joseph Louis
MASSENA DE RIVOLI	André Prosper Victor Eugène Napoléon
MASSIP	Georges Alexandre
FROMONT	Adolphe Marie
MAZOUÉ	Louis Charles Valentin
MAZAUDIER	Etienne Victor
MAURICE	Victor
MARTIN	Albert Paul
GODARD	Léon André Henri
GOUPIL	Louis François
GUILLOU	Marcel Jean Yves
MALLARD	Edmond Eugène
GRANET	Edmond André
GRAPPE	René Charles
GUILLEMIN-TARAYRE	André
GUILBERT	Marcel
GUIGNARD	Paul Louis
CASANOVA	Jean Pierre Louis
FAUCON	Jean Félix Ferdinand
CANOZ	Max Hubert
GAMONET	Henri Maurice
FRANCOIS	Edmond Louis Marie
FOVILLE DE	Henri Gérard François
FOURNIRET	Adrien François
DANE	Pierre
CHAUVIGNY DE BLOT DE	Jacques Alexandre Henri Leon Gilbert
CAZALA	Marie Antoinette Marcelle
CHILLY DE	Louis Gabriel Edmond Lucien
DELVOLVÉ	Elisabeth Sophie
GRIVOT	Edouard Alphonse
MATHIVET	Paul Léonard Constant
MEYER	Albert Roger
DECHOSAL	Georges Michel
DECHAVANNE	Jean Robert Henri
HAMILTON	Pierre Henri
DANET	Roger Marie Robert
DAUCOURT	Fernand Henri
DORANGE	Henri
GOUSSEAU	Arthur Daniel
ACH	Marcel
BAZOR	Lucien Georges
BOUTROUX	Lucien Edouard Alfred
BOUTRY	Emile Pierre
CAMUS	Maurice Germain Clément
COLN	Victor
COMBESCOT	Albert Marie Joseph Sylvain
LACLOCHE	Marcel
FERTÉ	Emile Georges Armand
COUTURIER	Pierre Louis Gustave
COLDEFY	François Francisque Fernand
COURTOIS	Jacques
THARAUD	Marie Louis Henri
MOSES	André Pierre Simon
CORNETET	Paul Alfred
CORBIN	Pierre Prosper
COUTURIER	René Lucien Marie
CHAPLAIN	André Albert
AMY	Lucien Marius
HUGON	Lucien Antoine
HOUDRICHON	André Jules
HUBLE	François Edouard
ALQUIER	Paul
BATON	Antoine
ANNEBICQUE	Florimond Louis Etienne
SIMONET	Pierre Georges Armand
SOURNIA	Georges Alphonse François
SUTTEL	Georges
BESIAU	Pierre Auguste
ADÈS	Henri Alphonse Jacques
CHARPENTIER	Louis Marie
CHARPENTIER	Pierre Henri Marie Gabriel
CHARPENTIER	Robert André
RITZ	Eugène
SALAVIZE	Claude Eugène Lazare
POULET	Paul Gaston
GRIOLET	Edmond Désiré
STIRN	Charles Louis Martin
STEINBACH	Jacques Antoine Louis
TABARD DE GRIÈGES	Henri
RIVOLLET	Georges Joseph
ROCHE	Henri
PILON	Edmond Louis
ROISSE	Robert Paul
LANGLOIS	Jean Louis
LEHMANN	Maurice
LEHMANN	Jacques
QUILLON	Léon Auguste
QUILLERY	Laurent Jean Baptiste
PERRIN	Charles Jean Mathieu
SOUSSIEUX	Louis Eugène
REICHEL	François Etienne
BLACHON	Philippe André
PÉROA	Armand
DESCHAMPS	Paul
GRASSER	Georges
LE CANNELIER	Paul Nicolas
BIEHLER	Lucien Joseph
BILLARD	Raymond René
BASTID	Paul Raymond Marie
LEGOFF	René Emile
LAMBERT	Paul Achille
RAU	Charles Jacques
RATEL	Gaston
RAVEAU	Henri Alphonse Camille
RIEDBERGER	Jacques Henri
RIECKERT	André Albert
RAPIN	Henri Joseph Théophile
REBOUL	Victor Jean Baptiste
REGETT	Pierre Alexandre
RÉGNIER	Jacques Léon
RÉGNIER	Emmanuel Alexandre
HUBERT	Albert
RAVIER	Louis Gaston
QUENEDEY	Raymond Alexandre
QUENISSET	Ferdinand Jules
RAPHAEL	Lucien
TREMELET	Alexandre Eugène
RAYNAUD	Jacques Marie Félix
ROSSELLI	Ignace Adolphe Jacques
POULIN	Charles
QUENNOUËLLE	Michel Louis Ernest
PERDRIX	Henri Jules Joseph
BOOS	Pierre Edmond Marie
ROBERT	Jacques Pierre
BOILEAU	Alexandre Eugène
PONSCARME	Eugène Auguste
POMMÉRA	Charles François Joseph
POLLISARD	Augustin Joseph Lucien
POLIDOR	Jules Jacques Félix
PETIT	Albert Auguste
PÉTIET	Claude Jean Henri
LEMARIE	Maud Etiennette Sara
LE DUC	Jean Jules Marie
LEJEUNE	André Henri
GOTTRAUX	Maurice André
LANDOWSKI	Germaine Jeanne Paulette
BELHOMME	Raymond Louis
BEAUVAIS	Georges Pierre Antoine
BAYARD	Camille Paul
VIELLIARD	René Marie Jules
VÉRON	André Louis Germain
FOURNIER	Henri Charles François
MACHINAUD	Joseph Ferdinand
LAMBERT	Hippolyte Etienne Pierre
PÉRAUD	Charles Etienne
PÉRARD	Louis Lucien
PETITJEAN	Marcel Emile Jean Baptiste
WIDERSPACH	Marcel
VILLEPELET	Ferdinand Paul
PIORO	Gabriel Thadée
PHILIPPE	Ambroise Pierre Joseph Eugène
ZITTEL	André Henri Alfred
VALLANET	René Henri François Edouard
LEVISSE DE MONTIGNY DE JAUCOURT	Frédéric François Arnail Pierre
JACQUEMIN	Jean Henri
IMHOFF	Nicolas Henri Maurice
ZAMULO	Paul Antoine
ZARA	Marcel
THOM	Ida Lucie Marianne
JACOB	Abraham André
PELLISSIER DE FÉLIGONDE DE LÉOTOING D'ANJONY	Carlos Louis
PELLETIER	Eugène
MANGUIN	Ernest Isidore
RENARD	Paul Julien
RENARD	Léopold Louis Celestin Léon
BONNELLE	André
LEPERE	Eugène Marie Georges
MANTAL	Pierre
GARLOPEAU	François Georges Albert
CLAUDE-LAFONTAINE	Gaston
OBY	Maurice Léon
CHASTRES	Roger Joseph
BROUTY	Fernand Edmond
BOURDIN	Roger
CHAUMIER	Pierre Marie Louis Edmond
LEICK	Georges Nicolas Marie
DRUJON	Pierre Alfred Alix
MARCEL	Gabriel Honoré
MARCOUL DE MONTMAGNER DE LOUTE	Jean Baptiste Paul Bruno Walter
MAROUTEAU	Henri
NIGAY	Pierre Félix Antoine
DEVIN	Léon Henri
FONCHAIN	Eugène Victor
FOURRIER	Emile Léon
GARY	Maurice Hippolyte
DEGOBERT	Paul
GUEBEL	Joseph Bernard Charles
GAYET	Marcel Théophile
GAUTHIER	René Antoine Joseph
THÉVENON	Raymonde
GIRARD	Jeanne
GUICHARD	Marcel Achille Pierre
GUIBERT	Louis Marcel
GUGGENHEIM	Charles
GUEZ	Pierre François Joseph
GÉRARD	Robert Georges Gustave
HÉBERT	Marcel Victor Henri
GONTIER	Albert Eugène
DOUCE	Antonin Georges
ESTIQ	Antoine Ernest
CAMBOURNAC	Louis Eugène
CUVILLIER	Armand Joseph
DAVID-WEILL	Jean Alexandre Gérard
ESTRADE	Jean Marie
FRÉCHET	Charles Aimé
DELAPORTE	Jean Victor
DELALANDE	René Mathurin
HAUTECOEUR	Eugène Georges Louis
LABARRIÈRE	Robert
LEGRAND	Maurice
LEGROUX	Félix Charles
LEBLANC	Georges Louis
LAFFOLAY	Hector François Nicolas
LAGACHE	Daniel Louis Constant Paul
LEFEVRE	Gustave Eugène Joseph Ulysse
LEFRANC	Constant Henri Louis
LELEU	Pierre Jules
MILLET	Louis Alexis Sylvestre
MICHON	Louis Marie Joseph Félix Antoine
CARRIER	Ernest
BRIAUMONT	Gaston Romain Jean
MATHIVET	Frédéric
MICHELOT	Germaine
POTIER DE COURCY	Marie Pierre Xavier
LEVESQUE DU ROSTU	Henri Jean Gerard Marie Joseph
LOUDINOT	Henri Edouard Paul
HARANG	Paul
RANDON	André
METAIRIE	Germaine Marie Claire
ADER	Maurice
AYE	Charles Jacques
AYRAL	Pierre Henri
FRIEDBERG	Fernand
FERIOT	Emile Eugène
FÉGER	Maurice
CHAPPUT	Maurice
SUINAT	Jean Jacques
PHILIP	René Jean Jacques
LANGLAIS	Marie Anne Françoise
OBERLIN	Serge Léopold Alfred
FAVORY	Albert
FATOU	Olivier
MOLLARD	Georges
TROMPEAU	Paul Alexis Henri
ZIEBER	René Gaston
BOURDON	Charles Maurice
BOUR	Alfred Victor
BOULOGNE	Léon Gaston
ROEDERER	Robert Léon Marie Gabriel
ROTH	Georges Jules
KLEIN	Eugène Xavier
MONCET	Louis
MONCHAU	Aimé Jules
JACOB	Edmond Marie Alfred
VIGOUROUX	Pierre Eugène
VUILLEMOT	Robert
BAUDIER	Emmanuel Anne René Robert Gabriel
BAUDET	Joseph Marie Arthur Augustin
FRAGER	Serge Fernand
FOUAN	Marcel Marie Hubert
BARIQUAND	Georges
FONTAINE	Noël
BARTH	René Louis Marie André
MÉGNAL	Eugène Auguste
DUVIVIER	Paul Marie Gustave Henri
DUVAL	Charles Claude
PATART	Paul Louis
PATART	Henri Louis Auguste
PASTEAU	Marie Octave Léon Auguste
ARMBRUSTER	Georges Léon
ARCANGUES D'	Pierre Marie Alexis Antoine
ABELOOS	Paul Hubert
BREDY	Maurice Léon Pierre
BRECHEMYER	Henri Julien
BRÉAL	Michel Georges Eugène
MULLER	Albert Lucien
MULLER	Octave
MURCIER	Henri Paul
AGNELLET	René
BONNEAU	Roger Léon
BONDURAND	René Pierre
SERVANTY	Lucien
MELTZHEIM	Adrien André
MELVILLE	Jean-Pierre
MURAT	Charles Michel Joachim Napoléon
SCHMIT	Jacques Jules
SEYDOUX FORNIER DE CLAUSONNE	Alfred Emile Roger René
PALEVILLE DE	Henri Emile Georges
PALANT	Jules
VALTIER	Jacques Henri Auguste
SABLÉ	Lucien Hippolyte
SÉGAUT	Marcel Emmanuel Victor
RICHEPIN	François Denis Tiarko
VEDEUX	Jean Paul Julien
BOCQUET	Emile Louis
BLONDELET	Jean Baptiste
BOURGUIGNON	Robert Alfred Noël
MARTINET	Marie-Louise
DREYFUS	Julien
DEJUST	Louis Henri
DELAGARDE	Pierre Léon Jean
DALSACE	Robert
GARNIER	Jean Paul
DELON	Martial Georges
DEFRASSE	Henri Paul Edouard
BARBIER	Charles Raymond
BANSE	Georges Marcel Fernand
HUGUES	Marie Paul Jean
HUREL	Eugène Louis Prosper
GROGNOT	Paul Antoine
GRANDJEAN	Jean André Octave
HIMELY	Jeanne Marie Renée
AUBAGNAC	Paul Antonin Georges
ATANOUX	Maurice Jean Thimoléon
ASCOLI	Robert Ephraïm
ARNSTEIN	Charles
ANTOINE	Robert Louis
ANNET	Armand Léon Prosper
ANDRIEUX	André Hubert Louis
AMIOT	Henri Alphonse Charles
ALLEZ	Max Lucien
ALHOMME	Adrien Désiré
SCHMIDT	Léon Paul
SCHMITT	Robert Albert Henri
HEURTEL	Yvonne
HOULBERT	Gustave Eugène
DESBRUYÈRES	Paul Jean François
PLIJOUX	Adrien Ernest
SALLE	Gaston Maxime Léon
RODOLPHE-ROUSSEAU	Jacques Adolphe
ROCHER	Félix Jean Lanfranc
ROCH	Charles Etienne Georges
RIBIER	André François Louis
RAULT	Jacques Henri Marie Ferdinand
MASSON	André Charles Jean
MASSPACHER	André Georges
MARCÉ	Jean Jules Paul
BONNARD	Paul
BOULLAY	Etienne Maurice Eugène Marcel
BOURET	Pierre Ernest
CHARBONNEAU	Georges
POMMEY	Marcel Emmanuel
POTTIER-DERUDDER	Sylvain Emile Adolphe
PHILIP	René Jean Jacques
PINOT	André Adolphe
PELOU	Marcel Joseph Camille
PATÉ	Maurice
PASTY	Auguste Maurice Louis
MESNIL	Pierre Jules François
MICHEL-DANSAC	René Marie Antoine Joseph
PEYTEL	Michel Maurice Pierre
CHODRON DE COURCEL	Louis Gaston
PONELLE	Jean Louis Clovis
LESCA	René
CUPILLARD	Marcel Paul Henri
SIMON	Ernest
AYAT	Albert Louis Felix
CIOR	Louis
SEUTET	Edouard Alphonse Jules
BOUVIER	Paul
CHASTRES	Roger Joseph
BARBERON	Pierre Léon
ELIARD	Albert Louis
EBSTEIN	Paul Félix
EBEL	René Paul
DURIN	Jean
DURAND	Gabrielle Thérèse
DUPUIS	Louis
DUPOUY	Marcel Alfred Edouard
DUPERREY	Maurice Georges
FOURNIER	Victor Louis Henri
FOURNIER	Henri Louis Robert
FOUQUET	Lucien Emile Paul
FIX	Robert
MASSOL	Henri Auguste
BOULARAN	Jacques Dabert
BOURLON	Marcel Léon
DEPAUX-DUMESNIL	Robert
GOUIN	Jean Hippolyte André
GRENET	Armand
GRILLIAT	Etienne Pierre Fernand
HALLAIRE	Maurice Octave
LARMINAT DE	Jacques Marie
BRESARD	Pierre François Jules Félix Marie Jean
COUDERC DE SAINT CHAMANT	Marie Louis François
COSMEUR	Charles
MELLINI	Gaston Henri Clair Marie
MERCIER	Joseph
MERCIER	René
MAYER	René Joël Simon
MAZEAU	André René
MARMONNIER	Emile Théodore Etienne
MARRET	Louis
MARTEAU	Charles Louis
MARTIAL	André Alfred
MAUGER	Maurice Emile
COUESPEL	René Eugène Fernand
MAINGON	Justin Charles Henri
MALBOIS	André Louis
CHEVALIER	Maurice Auguste
CHEVRIER	Louis Henri
CHIABRANDO	Paul Maurice
CHIGANNE	Louis Lucien
CHOPY	Lucien Auguste Antoine Jean
CHOQUART	Henri
CHOVELON	Auguste Julien
CLUSAZ	Eugène Camille
COLLAS	Robert
COLLIÉRE	César Edmond Jean
GEORGES	René Gaston
GILLET	Louis Eugène
GIRARD	René Lucien
LEBOULLENGER	Henri Auguste
LEROUX	Eugène Louis
MOSSOT	Paul
MOREAU	Gilbert Adrien René
MOREAU	Adrien Edouard Jean
MOUTAILLIER	René Henri
JANVIER	Emile Serge
JACQUESSON	Ernest Marie
JACQUEMIN	Ernest
JACQMIN	Eugène Robert Joseph
IVERNOIS D'	René
BERNHEIM	Claude Armand
BAYET	Maurice
BASCHET	René Louis
AUJAMES	Pierre Emile
AUROUSSEAU	Léon Clément André
ANTOINE	Raymond Emile Charles Antoine
APERTET	Henri Léon
WANNER	Marcel Paul Louis
BALME	Fernand Marie
TISSIER	Maurice
AUBER	Marc Marie Joseph
AMBLARD	René
PICHON	Henri Emile
SERVEAU	Clément Henri
AMIAUD	Marie Joseph Felix Emile André
ANTIC	René Jean
BADIN	Jacques Jean Michel
VOGUE DE	Jean Alexandre Melchior
LE GALLIC	Georges Robert
LEGOUX	René Jean
LELANDAIS	Victor Joseph François
LECOMTE	Jean Charles Henri
ALPHAND	Roger Félix
ADAM	Raymond Emile
SPITZER	Philippe Alexis Eugène Joseph
BEGON	Andrée Jeanne
VARGUES	Germain Gabriel
VEBER	René
VAUQUELIN	Jean Louis Nicolas
VASSILLIÈRE	Charles Léon Marie Louis
VALTER	Lucien Just
USSELMANN	Fernand Georges
UNAL	Georges Henri
PÈNE	Pierre Victor
PÉQUIGNEAUX	René Eude
COURTY	Gaston Marc
BLAISE	Anatole Joseph
BAUDET	Pierre Emile
LELIEVRE	André Alfred Célestin Jean
REICHENBACH	Marcel Marie
TALBOT	Jean Maurice
ROCHER	Gaston
SCHMIDT	Pierre
PEYRONNET	Robert Jean
PÉTRÉ	Marcel Louis
PERRONNY	Roger Maurice
PERRIN	Paul Henri
COHEN	Marcel Jérôme
COUTEAU	René Constant
DOMANGE	Daniel Paul
FOURAULT	André Alphonse Georges
DESCHAMPS	Charles
DEVIN	Jean-Charles Georges
DOGNIN	Pierre Henri Jean Etienne
GRAMONT DE LESPARRE DE	Antoine Bon Jacques Alfred
GRANDBASTIEN	Paul Lucien
LEULLIER	Marie Constant Eloi Albert
LEFI	Jean Frédéric
PARPILLAT	Emile Félix
PAUL-DAUPHIN	Ferreol Adrien Pierre
PATTE	Gustave Jules Joseph
MICHELIS DE RIENZI	Désiré Jean René Raymond
MICHOUD	Edouard Luc Paul Eugène
MARIANI	Jean Claude
GIRAULT	Louis Jules Alphonse
GIRAUDEAU	Paul Auguste Edouard Marie
GILQUIN	Marcel Alexandre
GILLET	Edouard Juste
GILBERT	Pierre Augustin
GELLÉE	Louis Gabriel
GALLIE	Alexandre Albert Elie Georges
RENIER	Léon Firmin Maurice
ROHAN-CHABOT DE	Edme Marie Fernand
HISLER	Louis Constant
HÉMAR	Marie Robert
GRÉVY	Paul Emile
GRENON	Maurice Charles Alexis
PAPILLAUD	Louis Octave
ROLLIN	Louis Charles
ROBLOT	Gaston Victor Clément
RENDU	Camille Achille
LEBRUN	Maurice
LE GRAND	Pierre Jules Louis
LAURENT	Adolphe André
ROUX	André François
GUILLOT	Lucien Paul Gabriel
DUVAL	Emile
DUPONT	Albert
BARADUC-MULLER	Louis Marie Victor Hippolyte
COLIN	Eugène Louis
CHARLES	Mardochée Jacques
CHARLES	Roger Camille
CHARLIER	André Maxime
COCHET	Albert Louis Aimé
LABONNE	Eirik Pierre
LABROUSSE	Henri
CATERS DE	Alain Robert Alexandre Marie Jacques
CHASTEAU	Jean Gustave René
CHAMBERLAND	Augustin Paul Marie
COFFINIÈRES	Charles Frédéric
TOURVIEILLE	Marcel Gustave
THOMAS	Paul Marcel
CARDON	Eugène Léon
BURG	Léon
CARTON	Edmond Achille
BOUZOU	Georges Henry
WEINSTEIN	Georges
RATEAU	Henri Alexis
VAN-PARYS	Georges Eugène Emile
VERRIER	Marcel Emile Jules
VALLERY-RADOT	Maurice René Jean
VALLADON	Maurice Ernest Louis
TOULOUSE	Jacques Philippe Marie
THOUROUDE	André Eugène Emile
TAILLANDIER DE	Jean Théophile Elie
WIET	Gaston Louis Marie Joseph
FLAMENT	Louis Etienne
FLAMENT	Jean Charles Pierre
ESPAGNAC	Jules François Emile
SEGUIN	Amédée Augustin Paul Marc
RIVAIN	Philippe Marie Pierre
ROCQUIGNY DU FAYEL DE	Michel Armana Alexandre Ignace Marie
RICHER	Pierre Henri
RICHARD-CUGNET	René
ROGER	Georges René Roger
VILLAINES DE	François de Paule Marie Ghislain Paul Joseph Henri
CASANOVA	Emile
BOUTEILLER	André Maurice Maxime
BOUSSEAU	Pierre Alexandre Joseph Bélonie
MOYSE	Raoul Ernest
POPOT	Henri Pierre
SCHWARTZBARD	Colette Lucie
SCHMITT	Jean
SCHMAUCH	Serge Paul
BRASSEUR	Alphonse Alexis
BRIAT	Edmond Benjamin Henri
BROSSIN DE SAINT-DIDIER	Auguste Marie
BRUCQ	Eugène Louis Martial
BUZIN	Pierre Robert Marie
RIGOLOT	Philippe
POMMIER	Gaston Lucien
MARTIN	Jean Marie
MARIOL	Joseph Henri Louis
MARCHAND	René Alexis
MARCADET	Jean Julien Adolphe
MANGIN	Alexis Antoine Alfred
POLINE	Jean Marie Joseph Jules
PILLEPICH	Albert Clément
PILET	Georges
PIERSON	Louis
PIERRATTE	Georges Maurice
MINIAC DE	Guy Armand Charles Marie
MILLE	Roger Noël
MASSARD	Armand Emile Nicolas
MARTIN	Maurice Ildevert Léon
MARTIN	Léon Auguste Emile
LARROQUE	Robert Michel Louis
LARIBLE	Léon Jules
ARNOUX	André
ARMAND	Robert François
ARIBAUD	Benjamin Jean
ANTOINE	Fernand Adonis
ANDRIEU	Roger Charles
PERRÉE	Henri
PÉREY	Marius Paul Alphonse
LANDON	Pierre Marie
PEPIN-LEHALLEUR	Ernest Jean Robert
DUBIEF	André Louis Edouard
DUBOSC DE PESQUIDOUX	Just Marie
DUBRÉ	Louis Eugène
JOUBERT	André Charles Urbain
JUNCKER	Georges Frédéric
BALAS	Jean François
PAPILLON	Roger Jules
PAUL-MARGUERITTE	Eve Antonie
DUFLOS	Robert Charles Léon François
DUCHE	Pierre Frédéric
BONGRAND	Raymond Gustave
BONFILS	Robert Etienne
JACQUET	Raymonde
BONDET DE LA BERNARDIE LA VERGNE	Augustin François Maxence
BOISSOU	Guy Joseph Edmond
BOIS	Théophile Eugène Désiré Marie
LACROIX	Jean
LACAU	Robert Joseph
BÉZINE	Henri Marie Jacques
ALLEGRET	Eric Louis
BELLENGER	Marie Félix Eugène
BELLANGER	Marcel Adolphe Marie
BÉLIARD	Jean Octave Marie
ARIBART	Henri Désiré
ANTOINE	Georges Lucien
VULDY	Louis Théodore Charles
WEILLER	Jean Pierre Léopold
WEISER	René Pierre Guillaume
ZIMMER	Lucien Alfred Charles
DESJARDIN	Henri
VIGNES	Paul Bernard Jean
DAMIENS	Charles
DANIEL	Maurice Auguste
DEBRAY	Albert
DANLOS	Eugène Charles
DAVID	Emile Marcel
TISSERAND	Robert Emmanuel
VETTIER	René Marie Alexandre
VINCENT DE VAUGELAS	Marie Claude Charles Armand
MORIN	Maurice Léonard
MULER	Emile
MUTTERER	Jules
MICHAUT	Pierre Georges Marie
MORLIÈRE	Joseph
NICAUD	Raymond Joseph Marie
HALLOT	Désiré Charles Henri
DOZOL	Jean
AUBRY	Fernand Georges
COMBRET	Emile Hippolyte
ROUSSEL	René Roger
SAGLIO	Robert Joseph Nicolas François
FITTE	Albert Marie
DEQUINSIEUX	Paul Maurice
DELMAS	François Maurice
DELHOMME	Ernest René Marcel
DELFOUR	Edouard
DESCLERCS	Raymond
GEOFFRE DE CHABRIGNAC DE	François Charles Henri
PERROT	Marcel Lucien
PLAA-PORTE	Paul Marcel
PAZ	André
PARIS	René Hippolyte André
PERRILLIAT-BONONET	Paul Jules Emile
FADEUILLE	Jacques Hippolyte
FABRE	René Adolphe
LEMAIRE	Hector Emile Albert
CARLU	Elisabeth Fanny
LEGRAIN	Georges Aimable
FOY	Paul Emile Benjamin
FOUILLOUZE	Adrien Edouard
FOUÉRÉ	Lucien Pierre
FORTIER	Roger Victor
FELDMANN	Samuel Alfred Maurice
GROMAIRE	Julien Marcel
GRENOVILLOT	André Georges
GRENIER	Charles Marie Donat
GRENET	Henri Charles Pierre
GRANTHOMME	Pierre Léon Gabriel
FORAY	Henri François
HADENGUE	Yves Marie
GUTTIN	Louis Henri
GUIGNEBOURG	Marcel Louis
GUERARD	Henri Léon
BICLET	Yves Adrien Joseph
BOISSON	Louis Romain Victor
BOISSIER	André Jean Jacques
BOBARD	Louis Jean Marie
BRIDOUX	Alexandre Toussaint
BACHMANN	André François
CARTIER	Jean Marcel Henri
COULON	Camille Jean Jacques
BOQUIN	Jules
CLÉRISSE	Henry Charles Victor
CAILLIERET	Augustin Louis Arthur
BRUNEEL	Léon Henri
COURNAND	René Edouard Frédéric Louis
CABASSON	Robert Louis
BUFFET	Jean Jacques
BRUET	Maurice Alexandre Eugène
GONTAUT-BIRON DE	Marie Elie Armand Gaston Charles
GIRODOLLE	Louis Edmond
GAILLARD	Philippe Albert Henri
JARDIN	Louis Jules
JOLY	Robert Adrien Jean Paul
JOLY	Henri Jules Charles Etienne
INGELBACH	Jacques Edouard Gaston
ZÉNI	Charles Stéphane
WISTORKY	Léon Eugène Jules
BOUWENS VAN DER BOIJEN	Jean Lucien Otto
BLOTTIERE	Robert Emile Alfred
THOMAS	Charles Albert
THAON	Henri Hippolyte
TERNET	Yvette Renée
TAVERNIER	René Julien
TANZI	Jean Paul
BAUDUIN	Maurice
BAUR	Jacques Daniel
BAJON	Achille Armand
SENOUQUE	Albert Ulysse
SÉGUR	Pierre Paul Victor
SEE	Gilbert Louis Maurice
SCHWENCK	Jean Edouard Michel
SCHWARZ	Anne
SCHREIBER	Georges
BEAUREGARDT	Albert Alphonse Fernand
BEAU DE LOMENIE	Gilbert Charles Henri
ASTRUC	Georges Jean Baptiste
ARNAUD	Félix
THOMMERET	Louis Marcel
ANGLARD	Roger
ARBELET	Laurentine Jules Suzanne
ALLENS D'	Jean Charles
APPERT	Jean Frédéric Marie
BARBARE	Fernand Léon
ABRIAL	Paul Emile Georges
BERTHELLIER	André Henri
AUFFRAY	Yves Pierre Léon Laurent Marie
AVALLE	Henri Paul Augustin
BEAUCOURT DE	Jacques Florent Maurice
BAUDOUIN	Maurice André Ernest
BAULARD	Alfred Henri
RIOU	Ernest Paul
RIGOUT	Maurice Alexandre Georges
RIGAL	Antoine
ROSE DE	Albert Agapit Félix Marie
PLY	André Achille Gabriel
PRUVOST	Pierre Marie Alexandre
PRESBERG	Léon
PRACOMTAL DE	Richard Etienne Marie Jean
PRIME	Maurice
POULET	Jean Marie
POUGET	René Marcel
QUESNEL	Albert Louis Arsène
QUILLACQ DE	Henri Bernard Auguste
NICOLAS	Henri Régis
LOIRE	Auguste Cyprien
PERRUCHOT	Charles André
GEHRMANN	Arlette Thérèse Henriette
MUNSCH	Henri Emile
VALLERY-RADOT-PASTEUR	Joseph Louis Pasteur
PAON	Marcel Louis
BINET	André
BIRÉ	Fernand
CHAMPION	Claude Eugène
BOURGET	Robert Georges
BOURCIER	Jean Maxime Emile
LUCAS	Jean Maurice
BUISSON	Henri Louis
BELLANGER	Albert Joseph Constance
BLANCHET	Louis Pierre
BOUTET	Louis Charles
ADHEMAR	Pierre Adolphe
JOSEPH	Maurice
JOANIN	Jacques Emile
JANOT	Maurice Alfred
LEFAURE	Abel François Jacques
LEFÉBURE	Marc
JUMELLE	Jacques Félix André
GOUTEIX	Jean Marie Eugène
GROSS	Paul Jean
HUOT	Auguste Louis Eugène
HUNTZINGER	Charles Marcel
HUMBERT	Henri Etienne
HANNETELLE	Emile Jean Louis
HÉBERT	Victor Valentin Jean
DELABIT	Marcelle Jeanne
HANOTELLE	Richard Adrien Marie
HANIN	Robert
GUÉRIN	Alice Françoise Rose
DUJOLS	Noël Pierre Jules
