key_uid,key_descriptor,key_vocabulary,relationship_type,related_uid,related_descriptor,related_vocabulary
18556943,"Abdul Rahman, Tunku",_People,UF,18593406,Tunku Abdul Rahman Putra Al-Haj ibni Almarhum Sultan Abdul Hamid Halim Shah II,_People
18608688,"Abdul Razak Hussein, Tun",_People,UF,18608691,"Abdul Razak bin Dato' Hussein, Tun Haji, 1922-1976",_People
18608688,"Abdul Razak Hussein, Tun",_People,UF,18610628,Tun Abdul Razak,_People
18608688,"Abdul Razak Hussein, Tun",_People,UF,18608689,Tun Abdul Razak Hussein,_People
18608688,"Abdul Razak Hussein, Tun",_People,UF,18608690,Tun Haji Abdul Razak bin Dato' Hussein,_People
18560837,Abdul Salam Ayub,_People,UF,18607577,A. Affan Segamat,_People
18560837,Abdul Salam Ayub,_People,UF,18607576,A. Salam,_People
18560837,Abdul Salam Ayub,_People,UF,18607579,Abdul Salam,_People
18560837,Abdul Salam Ayub,_People,UF,18607578,Abdul Salam Affandi,_People
18560837,Abdul Salam Ayub,_People,UF,18607575,Abdul Salam Ayob,_People
18560837,Abdul Salam Ayub,_People,UF,18607581,Adi Negara,_People
18560837,Abdul Salam Ayub,_People,UF,18607582,Anjar,_People
18560837,Abdul Salam Ayub,_People,UF,18607580,Surya Nagara,_People
18525943,Abdul Salim Harun,_People,na,na,na,na
18586676,Abdul Samad,_People,UF,18586677,Dr. Abdul Samad bin Pagak,_People
18560838,Abdul Samad Salimin,_People,UF,18607572,Abdul Samad bin Salimin,_People
18560838,Abdul Samad Salimin,_People,UF,18607573,Asmin (Writer),_People
18560838,Abdul Samad Salimin,_People,UF,18607574,Biduan Malam,_People
18560839,Abdul Wahab bin Hamzah,_People,UF,18607571,A. Wahab Hamzah,_People
18560839,Abdul Wahab bin Hamzah,_People,UF,18607570,"A. Wahab Hj. Hamzah (Abdul Wahab Hj. Hamzah), 1947-",_People
18590263,Abdullah Ahmad Badawi,_People,UF,18590421,"Abdullah bin Haji Ahmad Badawi, Datuk, 1939-",_People
18586678,"Abdullah Al-Khatib, Umar",_People,UF,18586683,As-Syaikh Umar bin Abdullah bin Ahmad bin Salem Al-Khatib,_People
18586678,"Abdullah Al-Khatib, Umar",_People,UF,18586681,Shaykh Omar Abdullah Alkhatib,_People
18586678,"Abdullah Al-Khatib, Umar",_People,UF,18586682,Shaykh Umar Al-Khatib,_People
18586678,"Abdullah Al-Khatib, Umar",_People,UF,18586679,Umar Abdullah Al-Khatib,_People
18586678,"Abdullah Al-Khatib, Umar",_People,UF,18586680,Umar bin Abdullah Al-Khatib,_People
18593521,Abdullah Ariff,_People,na,na,na,na
18583560,Abdullah Hamid,_People,na,na,na,na
18338328,"Abdullah, Munshi",_People,UF,18487347,Abdullah Abdul Kadir,_People
18338328,"Abdullah, Munshi",_People,UF,18487348,Abdullah bin Abdul Kadir,_People
18338328,"Abdullah, Munshi",_People,UF,18338329,Munshi Abdullah,_People
18338328,"Abdullah, Munshi",_People,UF,18338332,Munsyi Abdullah,_People
18338328,"Abdullah, Munshi",_People,RT,18338326,"Raffles, Thomas Stamford, Sir",_People
18551573,Abdullah Tarmugi,_People,UF,18551574,Abdullah bin Tarmugi,_People
18347588,Abingdon Road,_Geographics,BT,18343653,Changi West,_Geographics
18588415,Abingdon Tunnels,_Geographics,na,na,na,na
18517127,"Abisheganaden, Alex",_People,UF,18551997,Alex Abisheganaden,_People
18517127,"Abisheganaden, Alex",_People,UF,18557288,Alexander S. Abisheganaden,_People
18517127,"Abisheganaden, Alex",_People,RT,18489866,"Abisheganaden, Jacintha",_People
18517127,"Abisheganaden, Alex",_People,RT,18517129,"Abisheganaden, Paul",_People
18489866,"Abisheganaden, Jacintha",_People,UF,18662919,"Jacintha, 1957-",_People
18489866,"Abisheganaden, Jacintha",_People,UF,18557315,Jacintha Abisheganaden,_People
18489866,"Abisheganaden, Jacintha",_People,RT,18517127,"Abisheganaden, Alex",_People
18517129,"Abisheganaden, Paul",_People,UF,18554158,"Abisheganaden, Paul, 1914-2011",_People
18517129,"Abisheganaden, Paul",_People,UF,18607595,Paul Abisheganadan,_People
18517129,"Abisheganaden, Paul",_People,UF,18565899,Paul Abisheganaden,_People
18517129,"Abisheganaden, Paul",_People,UF,18554168,Paul Selvaraj Abisheganaden,_People
18517129,"Abisheganaden, Paul",_People,RT,18517127,"Abisheganaden, Alex",_People
18616125,"Abraham, Julian ‘Togar’",_People,UF,18616126,Julian Abraham ‘Togar’,_People
18616125,"Abraham, Julian ‘Togar’",_People,UF,18616127,Muhammad Hidayat,_People
18556946,"Abu Bakar Hashim, Ustaz Haji",_People,UF,18556950,Abu Bakar bin Hashim,_People
18556946,"Abu Bakar Hashim, Ustaz Haji",_People,UF,18610647,Abu Bakar Hashim,_People
18556946,"Abu Bakar Hashim, Ustaz Haji",_People,UF,18575040,Ustaz Abu Bakar Bin Hj Hashim,_People
18556946,"Abu Bakar Hashim, Ustaz Haji",_People,UF,18575039,Ustaz Abu Bakar Hashim,_People
18560929,Abu Bakar Maidin,_People,UF,18560930,"Abu Bakar Maidin, 1927-",_People
18551667,Abu Bakar Pawanchee,_People,UF,18551668,Abu Bakar bin Pawanchee,_People
18587820,"Abu Bakar, Sultan",_People,UF,18587823,Albert Baker,_People
18587820,"Abu Bakar, Sultan",_People,UF,18587821,Sultan Abu Bakar,_People
18587820,"Abu Bakar, Sultan",_People,UF,18587822,Sultan Sir Abu Bakar ibni Al-Marhum Tun Temenggung Raja Daing Ibrahim,_People
18543162,Abu Jalal Sarimon,_People,UF,18594330,Abu Jalal bin Sarimon,_People
18586264,Abundant Grace Presbyterian Church (Place),_GeoBuildings,na,na,na,na
18594537,"Academy of Medicine, Singapore",_Organisations,UF,18594538,Academy of Medicine (Singapore)‏,_Organisations
18612492,Accelerate Technologies,_Organisations,UF,18612493,A*ccelerate,_Organisations
18612492,Accelerate Technologies,_Organisations,Predecessor,18339126,Exploit Technologies,_Organisations
18561589,Accounting Standards Council (Singapore),_Organisations,UF,18561592,Accounting Standards Council of Singapore,_Organisations
18561589,Accounting Standards Council (Singapore),_Organisations,UF,18561590,Singapore Accounting Standards Council,_Organisations
18545044,ACI Singapore – The Financial Markets Association,_Organisations,Predecessor,18539357,Forex Association of Singapore,_Organisations
18583937,ACS House,_GeoBuildings,na,na,na,na
18531182,Act 3,_Organisations,UF,18578560,Act 3 Theatrics,_Organisations
18531182,Act 3,_Organisations,Successor,18339087,Act 3 International,_Organisations
18339087,Act 3 International,_Organisations,Predecessor,18531182,Act 3,_Organisations
18588786,Action for AIDS,_Organisations,na,na,na,na
18339088,ACTION Theatre,_Organisations,na,na,na,na
18345542,Adam Drive,_Geographics,BT,18343772,Hillcrest,_Geographics
18592146,Adam Food Centre,_GeoBuildings,UF,18592147,Adam Road Food Centre,_GeoBuildings
18343206,Adam Road,_Geographics,BT,18343194,Dunearn,_Geographics
18343206,Adam Road,_Geographics,BT,18343772,Hillcrest,_Geographics
18343206,Adam Road,_Geographics,BT,18343195,Mount Pleasant,_Geographics
